Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
294.22	48.49	44.611	43.182	94.578	51.589	75.578
294.39	51.372	51.339	47.603	95.416	54.449	80.888
294.56	55.747	47.385	49.385	97.264	57.835	81.297
294.72	54.258	48.291	45.874	99.533	57.951	76.566
294.89	50.171	43.83	41.786	96.127	55.819	72.204
295.06	58.143	47.384	44.615	98.494	59.989	74.692
295.22	49.408	35.991	36.408	87.804	52.903	68.188
295.39	40.875	30.117	31.392	83.864	48.348	62.48
295.56	40.709	26.105	28.017	82.358	44.599	60.764
295.72	36.886	27.535	27.271	83.524	41.282	60.513
295.89	33.873	23.357	23.687	78.73	40.269	60.566
296.06	36.595	26.32	22.1	83.672	41.078	61.32
296.22	29.013	20.958	13.42	75.717	35.805	57.2
296.39	31.731	24.225	16.709	78.764	37.841	60.017
296.56	39.631	30.873	25.356	85.851	43.213	69.488
296.72	40.777	36.216	30.194	93.656	52.381	72.974
296.89	43.544	38.39	30.061	94.995	55.302	77.929
297.06	46.6	35.622	28.458	92.447	49.326	72.293
297.22	48.68	33.988	35.021	93.361	50.856	75.021
297.39	52.465	38.674	39.86	100.641	52.773	75.344
297.56	57.173	43.359	42.107	103.7	55.305	78.019
297.72	52.428	40.966	37.714	98.494	52.472	74.384
297.89	52.743	38.358	35.172	93.6	46.084	71.787
298.06	56.478	36.752	35.961	93.093	46.719	70.961
298.22	52.75	36.695	38.475	94.046	50.574	74.739
298.39	55.191	42.543	42.367	96.993	54.62	79.565
298.56	56.268	41.532	38.257	95.411	52.774	80.279
298.72	50.17	34.006	36.116	93.863	49.335	76.302
298.89	50.971	30.433	35.905	96.136	52.18	75.246
299.05	48.771	29.266	33.09	94.222	52.507	75.474
299.22	40.709	27.907	34.039	92.292	48.731	70.83
299.39	42.851	31.082	35.522	93.137	51.115	70.39
299.55	35.242	23.758	27.956	89.198	44.539	63.473
299.72	36.571	27.351	35.175	93.802	49.494	69.956
299.89	33.716	25.793	29.947	90.133	47.892	69.507
300.05	33.133	24.44	28.748	88.825	41.177	67.836
300.22	32.726	22.737	31.814	91.693	42.111	68.254
300.39	37.492	24.624	33.767	97.448	47.118	71.009
300.55	40.65	27.321	32.925	101.991	46.43	74.507
300.72	44.929	31.709	34.698	104.753	47.391	77.523
300.89	43.752	26.906	33.169	100.785	44.433	74.796
301.05	46.949	30.916	36.85	104.4	43.741	75.103
301.22	41.289	30.377	36.641	107.333	44.3	77.476
301.38	41.801	31.131	34.471	108.526	41.537	75.625
301.55	36.883	28.037	28.674	105.169	34.663	75.663
301.72	33.058	27.355	29.597	107.256	32.223	78.399
301.88	28.676	20.621	28.951	107.599	29.182	79.72
302.05	33.123	28.079	32.123	118.354	34.925	85.145
302.22	32.102	23.081	29.564	125.048	34.41	92.905
302.38	41.376	31.672	34.046	137.42	42.035	100.65
302.55	43.392	30.15	33.424	140.556	40.908	104.15
302.72	49.618	36.53	42.113	148.475	50.145	108.673
302.88	52.627	36.88	47.451	154.451	54.715	114.792
303.05	54.661	44.079	47.508	160.903	59.936	118.508
303.21	50.689	39.294	45.557	159.107	55.371	123.096
303.38	55.487	47.278	53.916	165.465	60.366	124.124
303.55	47.986	35.404	46.678	154.118	48.624	118.459
303.71	43.467	37.236	48.225	158.764	51.467	121.379
303.88	42.154	33.132	44.627	162	44.858	124.319
304.05	40.386	32.837	41.672	166.76	41.397	127.837
304.21	35.956	25.791	36.714	170.088	37.912	129.374
304.38	36.711	28.678	38.524	179.788	39.568	131.722
304.55	33.05	22.489	32.489	177.116	35.577	133.852
304.71	39.577	29.83	35.192	189.599	41.247	141.533
304.88	45.646	30.69	37.526	195.734	45.185	151.064
305.04	44.853	31.985	33.04	198.524	47.051	153.227
305.21	41.583	23.594	25.066	195.583	43.099	145.55
305.38	46.878	30.054	31.636	199.845	47.098	149.669
305.54	41.772	23.564	26.223	196.652	44.695	142.487
305.71	46.043	31.109	28.779	207.537	51.098	151.428
305.88	39.076	26.405	25.285	206.043	46.263	151.79
306.04	35.497	28.518	22.277	209.694	41.958	150.464
306.21	34.547	25.085	23.745	212.898	41.03	152.272
306.37	39.327	33.579	29.14	224.601	44.865	163.349
306.54	37.991	31.519	29.739	231.156	44.739	168.991
306.71	38.051	35.776	28.04	241.04	43.457	181.15
306.87	38.869	33.451	26.924	247.946	39.638	182.967
307.04	44.636	37.042	29.922	262.35	43.317	190.944
307.2	39.924	30.374	25.078	265.308	38.583	189.605
307.37	39.455	34.059	27.422	273.433	39.982	195.037
307.54	39.641	31.85	26.333	274.74	40.366	196.223
307.7	41.099	34.561	23.484	279.033	41.407	200.286
307.87	48.758	37.583	30.66	282.758	49.044	204.242
308.04	47.662	35.893	28.904	280.234	51.662	201.179
308.2	42.06	32.642	26.158	273.818	49.422	198.202
308.37	48.863	36.303	32.786	280.336	55.149	208.797
308.53	43.656	29.623	25.557	274.535	46.491	203.36
308.7	38.416	26.295	24.801	275.91	46.548	201.603
308.87	34.862	19.246	19.312	270.928	41.081	196.938
309.03	31.767	15.558	18.679	272.734	36.69	197.415
309.2	27.557	12.776	16.578	273.908	30.524	202.293
309.36	28.329	14.23	15.505	286.439	32.022	209.055
309.53	29.105	14.281	13.423	293.478	32.995	211.489
309.7	35.789	22.262	18.482	314.691	40.405	227.855
309.86	42.887	26.612	21.36	336.052	46.601	248.964
310.03	47.794	32.509	28.948	362.783	52.498	269.838
310.2	44.333	28.014	19.597	374.685	48.047	277.926
310.36	41.847	35.528	26.825	400.045	53.32	293.21
310.53	40.653	31.851	27.125	410.213	52.543	300.4
310.69	36.931	31.316	25.997	419.657	50.514	309.788
310.86	34.4	27.268	22.499	423.916	47.037	313.883
311.03	30.161	24.018	17.996	422.645	38.073	306.007
311.19	27.97	23.211	18.97	421.706	35.596	300.64
311.36	34.023	30.43	29.463	429.32	42.858	308.199
311.52	35.179	24.311	24.069	427.553	39.069	306.091
311.69	34.933	26.768	26.592	431.285	41.219	310.296
311.86	35.878	26.812	29.076	440.647	41.262	311.625
312.02	34.221	24.342	30.276	447.1	40.375	313.54
312.19	37.774	29.982	37.653	460.169	46.147	325.96
312.35	38.753	34.72	35.951	475.236	48.555	338.819
312.52	34.05	29.467	31.467	485.017	42.643	342.192
312.69	38.341	34.352	32.682	497.374	43.923	354.671
312.85	37.548	31.998	33.075	506.493	40.91	360.372
313.02	42.341	37.956	36.242	519.483	42.341	375.022
313.18	39.815	36.508	31.079	523.969	40.365	381.277
313.35	38.038	34.445	26.752	529.467	38.785	385.357
313.52	35.824	23.198	20.758	527.231	33.121	382.341
