Lon	I-H-1043	I-H-1048	I-P-1116	O-H-1040	O-H-1046	O-P-1113	I-H-1114
290.89	32.184	24.063	67.261	95.524	91.063	69.623	67.261
291.06	34.647	30.064	72.965	98.581	95.196	77.328	75.394
291.22	33.602	30.229	78.086	99.712	97.009	78.91	72.723
291.39	31.528	32.484	77.407	101.836	94.056	84.187	73.726
291.56	31.714	33.747	75.889	97.516	95.296	78.12	67.845
291.72	33.744	38.217	83.887	100.008	99.217	87.414	75.107
291.89	31.769	34.461	80.384	98.889	97.197	84.109	71.856
292.06	33.917	35.796	82.082	101.28	103.741	92.379	75.851
292.22	29.33	30.132	72.583	97.946	100.561	85.056	66.957
292.39	31.455	31.576	75.444	99.389	101.499	86.18	71.807
292.56	32.866	31.207	74.449	101.306	102.91	84.284	70.888
292.72	32.571	31.549	75.461	99.099	99.319	85.934	75.604
292.89	31.929	27.017	72.193	98.259	99.16	81.808	71.753
293.06	34.06	29.917	72.907	97.994	101.203	86.544	76.917
293.22	31.293	25.194	69.974	95.776	95.227	81.26	71.293
293.39	30.095	27.095	73.82	96.139	93.634	83.37	72.645
293.56	29.26	27.645	70.227	93.173	92.843	83.887	70.359
293.72	28.422	26.653	69.774	91.697	94.334	85.038	69.697
293.89	27.925	23.936	70.958	93.463	96.606	82.2	63.925
294.06	28.99	32.671	71.88	95.649	99.166	84.946	70.792
294.22	32.028	31.864	77.039	97.391	102.995	84.413	70.402
294.39	33.855	36.086	79.515	100.778	109.306	89.548	76.756
294.56	36.604	36.132	83.505	102.319	111.132	88.374	74.055
294.72	34.456	35.061	84.775	104.193	108.852	89.445	71.951
294.89	32.83	32.27	83.863	101.753	106.698	84.292	72.039
295.06	38.384	33.89	84.176	104.033	106.494	85.022	73.989
295.22	35.848	29.485	79.32	99.408	102.947	77.199	65.386
295.39	28.809	24.754	72.359	96.919	98.678	77.688	61.82
295.56	29.434	22.764	72.116	93.698	93.808	75.094	59.764
295.72	28.557	20.765	67.359	94.205	90.952	76.645	63.985
295.89	26.555	18.566	63.302	93.148	89.917	69.752	61.324
296.06	26.771	18.803	66.672	94.089	89.65	75.65	63.342
296.22	21.343	14.497	63.585	86.706	86.376	72.497	61.299
296.39	23.006	11.83	64.401	90.764	88.962	79.445	66.083
296.56	29.455	19.708	70.686	96.576	91.675	79.29	70.774
296.72	30.908	24.04	72.612	100.557	97.26	84.491	76.315
296.89	32.665	25.379	77.017	99.566	102.621	81.929	80.05
297.06	33.567	23.622	73.512	98.556	104.051	82.578	79.985
297.22	37.977	27.702	72.922	100.834	106.306	80.823	78.416
297.39	36.267	31.992	71.817	106.795	105.828	85.498	82.025
297.56	38.557	35.272	76.052	106.645	107.283	83.074	81.81
297.72	36.626	31.648	71.516	99.769	109.527	83.087	78.164
297.89	34.303	28.776	67.314	96.413	105.886	77.809	71.534
298.06	32.192	27.17	64.664	99.774	102.412	83.225	69.73
298.22	31.936	26.453	69.255	102.178	102.552	82.651	71.541
298.39	30.334	28.389	72.389	104.026	107.147	86.07	75.433
298.56	32.158	25.62	73.521	104.466	111.741	82.697	72.202
298.72	29.753	23.324	71.632	101.819	109.335	82.544	68.258
298.89	30.466	20.631	72.312	105.191	105.257	79.817	67.037
299.05	30.507	19.639	72.562	104.991	104.903	80.925	68.266
299.22	33.215	23.907	70.665	101.347	105.281	76.413	65.962
299.39	34.126	27.302	69.851	102.631	104.61	76.016	67.357
299.55	32.846	22.44	65.769	100.055	99.945	69.099	60.934
299.72	33.296	25.417	67.967	99.516	100.879	73.472	64.505
299.89	30.353	20.474	65.474	99.76	98.595	68.012	64.595
300.05	26.605	23.473	64.66	99.506	99.506	68.715	66.737
300.22	27.825	22.078	67.913	101.627	104.55	65.88	65.847
300.39	25.822	20.58	71.173	106.943	106.723	69.998	69.074
300.55	26.694	19.892	72.057	107.222	109.134	71.87	68.013
300.72	25.039	20.677	73.995	109.984	113.061	78.578	68.38
300.89	24.389	19.521	74.103	113.444	114.565	74.708	64.961
301.05	27.279	22.037	73.905	118.246	119.213	79.938	67.411
301.22	29.003	19.036	74.058	120.915	122.124	77.564	65.882
301.38	28.592	19.218	70.515	120.526	121.625	78.834	64.153
301.55	27.674	16.828	69.433	119.191	125.543	74.433	59.762
301.72	31.278	16.454	68.366	120.179	127.168	78.003	57.52
301.88	31.336	15.698	64.742	123.907	131.577	72.819	54.94
302.05	35.782	17.53	66.233	130.53	139.497	78.068	62.771
302.22	32.74	18.245	65.531	131.641	143.355	74.311	57.795
302.38	34.365	20.596	67.497	139.31	152.189	81.705	64.782
302.55	32.293	21.315	70.227	147.897	157.15	76.677	64.6
302.72	34.651	23.783	70.64	154.805	162.365	82.739	69.376
302.88	30.671	23.166	75.55	164.517	171.177	82.089	70.935
303.05	32.398	26.98	79.771	172.332	174.354	86.42	78.244
303.21	28.909	25.096	78.008	174.931	172.623	80.59	73.173
303.38	34.014	30.003	80.992	180.146	179.575	87.069	80.388
303.55	31.129	28.327	76.096	175.744	174.799	77.36	69.415
303.71	35.357	30.731	75.214	176.302	181.445	80.061	73.335
303.88	33.165	29.88	76.022	179.539	184.924	72.671	68.77
304.05	32.057	31.826	71.87	180.87	191.595	71.837	67.925
304.21	28.505	29.176	66.308	181.209	193.494	66.824	61.253
304.38	30.667	32.15	66.612	185.194	203.7	71.985	62.095
304.55	28.5	28.951	66.962	187.709	205.885	68.358	57.907
304.71	32.258	29.039	69.918	196.808	214.83	76.918	62.324
304.88	30.416	27.701	71.559	203.866	219.097	80.515	60.614
305.04	32.392	27.326	68.557	208.502	223.798	81.623	62.634
305.21	31.978	25.528	66.176	208.462	220.308	76.846	59.583
305.38	35.999	26.801	72.515	214.438	226.746	81.933	67.383
305.54	32.959	20.355	72.256	217.575	226.564	77.3	64.827
305.71	35.34	22.889	72.164	224.285	233.252	82.461	68.966
305.88	29.032	22.318	70.395	226.966	238.9	72.845	63.186
306.04	25.716	19.859	67.332	231.716	245.123	73.98	63.123
306.21	25.03	20.206	66.481	237.294	252.305	77.107	59.756
306.37	29.678	22.195	69.887	249.92	267.195	83.349	65.59
306.54	30.848	22.244	70.145	257.222	279.574	79.98	64.035
306.71	31.787	24.479	69.183	265.919	289.611	83.304	64.93
