Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
287.72	54.872	28.092	6.476	10.509	17.718
287.89	50.789	24.833	4.119	7.459	14.404
288.05	51.844	21.635	2.833	7.394	13.723
288.22	53.093	23.709	9.5	15.082	19.214
288.39	56.258	26.313	11.73	18.005	22.005
288.55	53.117	25.49	10.534	19.193	22.314
288.72	51.154	27.407	11.286	18.703	20.242
288.89	47.194	23.435	9.139	15.248	17.226
289.05	50.115	25.62	7.917	16.213	19.466
289.22	45.157	25.047	4.729	14.575	18.399
289.39	44.972	24.258	3.61	6.983	11.423
289.56	44.252	24.099	0.219	6.285	8.923
289.72	45.071	23.785	0.323	6.246	7.082
289.89	42.018	18.699	-3.641	2.293	4.315
290.06	45.236	21.576	-1.49	3.51	5.312
290.22	42.491	17.59	-2.817	4.787	5.447
290.39	48.927	22.455	1.103	7.422	8.169
290.56	44.614	16.064	-4.65	6.471	7.922
290.72	48.8	18.855	-0.782	6.635	9.888
290.89	49.37	15.986	-3.761	4.458	8.986
291.06	55.932	24.229	3.141	11.833	13.592
291.22	54.262	23.119	9.481	15.943	13.174
291.39	56.023	26.078	11.627	14.297	14.121
291.56	47.714	19.472	8.955	12.208	11.197
291.72	54.458	29.173	18.063	21.305	17.261
291.89	53.175	31.439	15.648	22.813	15.692
292.06	57.225	37.302	22.763	27.148	20.071
292.22	51.264	31.242	15.407	21.605	17.869
292.39	58.103	35.807	12.873	20.95	26.136
292.56	56.383	36.625	12.833	23.163	24.526
292.72	59.659	39.341	11	21.099	25.582
292.89	56.545	36.127	9.83	15.149	24.336
293.06	54.731	34.236	11.126	15.731	28.61
293.22	48.919	28.897	4.754	14.249	24.578
293.39	50.15	29.436	5.359	12.381	19.502
293.56	48.689	28.227	5.579	15.162	14.678
293.72	49.84	26.532	3.642	15.455	13.477
293.89	45.595	21.222	2.09	16.332	12.024
294.06	52.21	26.528	4.737	18.616	16.023
294.22	57.479	26.688	7.995	22.677	16.435
294.39	63.009	30.998	11.361	25.24	19.658
294.56	65.483	30.824	14.769	26.945	26.769
294.72	61.017	26.984	10.907	24.083	25.401
294.89	56.171	24.193	12.006	20.138	25.237
295.06	60.857	27.747	14.923	20.538	27.483
295.22	53.166	21.408	7.507	16.166	22.188
295.39	49.831	18.743	2.183	7.227	12.414
295.56	46.489	16.138	1.006	3.731	13.182
295.72	42.985	14.755	0.612	6.095	8.073
295.89	43.126	13.346	-0.951	1.994	8.763
296.06	45.771	16.705	-1.966	2.595	8.045
296.22	44.156	12.969	-7.042	3.068	5.046
296.39	45.478	12.28	-2.654	5.907	2.918
296.56	50.686	17.609	5.906	18.257	16.719
296.72	54.831	23.568	9.733	18.645	18.029
296.89	55.786	25.434	9.467	19.665	22.346
297.06	54.677	24.996	9.139	20.161	17.875
297.22	58.152	26.218	12.01	23.57	20.713
297.39	60.454	31.828	17.201	21.19	21.542
297.56	63.48	35.414	19.228	25.338	23.096
297.72	60.637	30.999	13.164	18.955	16.318
297.89	58.655	27.424	11.677	19.589	13.875
298.06	59.763	29.73	10.928	16.675	14.741
298.22	61.914	30.64	11.728	17.134	17.266
298.39	65.861	34.246	15.004	18.774	21.411
298.56	65.037	31.477	15.114	20.873	23.774
298.72	61.5	28.083	8.445	13.577	22.94
298.89	63.169	29.169	9.554	13.774	24.806
299.05	62.343	27.255	4.584	10.947	22.376
299.22	62.753	25.325	3.424	11.16	20.303
299.39	58.972	27.577	2.577	10.258	21.906
299.55	54.692	16.956	-5.253	6.528	14.967
299.72	58.89	20.066	-5.682	10.879	15.714
299.89	55.76	19.386	-7.614	7.375	11.99
300.05	55.1	16.715	-9.911	4.847	7.704
300.22	57.276	19.627	-6.01	7.397	9.946
300.39	60.074	20.195	-4.497	7.712	12.239
300.55	64.98	17.661	1.079	9.123	11.804
300.72	65.446	21.742	3.819	9.215	12.16
300.89	61.796	19.708	4.972	6.774	12.136
301.05	63.422	19.279	2.806	10.532	14.752
301.22	62.014	18.871	2.421	9.849	15.564
301.38	60.076	13.383	-1.375	7.098	12.196
301.55	56.466	8.619	-0.71	6.499	8.784
301.72	58.85	12.685	-4.931	7.366	7.102
301.88	62.72	12.588	-4.126	7.742	8.094
302.05	71.53	18.991	-1.042	9.541	7.431
302.22	74.762	21.729	3.081	11.124	7.432
302.38	84.837	28.211	9.716	15.947	11.815
302.55	91.457	29.501	12.392	20.04	13.534
302.72	101.255	36.453	14.838	22.299	15.882
302.88	108.693	37.858	18.287	26.155	20.484
303.05	111.881	39.738	17.815	27.167	22.156
303.21	110.36	33.151	12.393	26.415	23.25
303.38	120.135	35.201	18.069	30.058	29.091
303.55	111.613	25.173	6.437	23.975	23.184
303.71	111.368	23.577	5.478	22.17	21.951
303.88	112.55	22.11	2.847	18.715	21
304.05	115.76	20.804	1.035	15.529	19.441
304.21	112.989	16.571	-2.692	9.088	16.297
304.38	117.403	20.469	1.139	8.205	13.744
