Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
290.06	28.499	21.73	16.378	15.367	14.488	5.609
290.22	27.919	23.392	13.172	10.689	12.776	4.568
290.39	29.114	24.675	17.477	16.422	16.422	9.697
290.56	26.614	25.735	15.603	12.68	14.108	3.966
290.72	29.646	27.536	14.8	17.482	15.635	4.295
290.89	30.008	32.03	10.909	14.579	16.535	4.81
291.06	34.317	37.702	17.537	21.009	20.614	10.416
291.22	37.536	40.481	19.141	22.02	23.888	9.042
291.39	38.671	39.418	21.056	25.539	25.715	10.242
291.56	39.692	38.241	16.197	25.67	21.999	9.834
291.72	43.129	43.744	24.854	30.832	27.184	20.195
291.89	39.439	40.714	22.538	29.373	24.604	16.263
292.06	40.445	40.884	29.686	36.016	28.368	21.906
292.22	33.66	37.44	22.869	27.814	21.594	15.979
292.39	34.642	38.246	24.015	28.411	21.906	20.235
292.56	35.438	38.954	24.515	27.658	23.108	21.053
292.72	33.077	37.516	24.165	25.308	22.055	17.659
292.89	31.819	35.6	17.292	19.775	19.578	14.05
293.06	35.357	37.863	21.082	21.17	19.764	17.698
293.22	32.897	33.864	15.293	11.183	14.062	13.414
293.39	33.502	32.359	14.436	11.007	13.689	14.128
293.56	32.975	34.03	16.865	9.722	14.799	12.085
293.72	33.147	33.191	16.279	6.565	13.818	10.785
293.89	31.332	33.573	17.551	1.573	12.365	13.079
294.06	35.474	34.858	24.627	10.034	16.539	14.474
294.22	37.984	39.699	29.611	11.919	23.017	17.49
294.39	40.075	44.735	31.603	17.449	27.031	18.767
294.56	46.121	47.879	34.363	22.604	31.593	21.275
294.72	44.193	44.72	29.742	23.588	30.665	20.731
294.89	41.336	43.929	28.083	25.907	28.786	16.226
295.06	46.318	43.198	28.703	31.516	32	15.956
295.22	41.057	40.09	21.474	20.133	25.65	10.848
295.39	35.864	31.82	12.051	16.579	18.293	5.721
295.56	36.138	28.182	11.632	13.061	18.489	3.38
295.72	31.831	23.524	7.974	11.755	16.502	-0.817
295.89	33.566	25.873	7.654	9.522	15.785	-2.577
296.06	32.99	23.056	5.441	9.749	13.617	0.913
296.22	26.947	21.936	-0.459	5.541	8.068	-4.097
296.39	29.489	22.368	0.665	10.731	9.72	-2.368
296.56	38.224	32.554	9.895	16.422	19.785	7.18
296.72	42.535	35.853	13.139	23.952	23.864	13.579
296.89	44.467	42.182	18.863	24.863	27.259	21.028
297.06	41.018	36.49	16.501	24.15	21.425	17.6
297.22	45.163	44.724	19.471	27.273	27.076	19.438
297.39	50.311	46.575	23.289	28.696	29.619	23.509
297.56	52.469	54.667	29.37	29.788	34.601	26.392
297.72	47.9	48.032	22.505	26.373	27.428	20.483
297.89	44.523	46.721	19.798	20.435	22.303	16.6
298.06	45.357	45.576	20.401	21.324	22.423	15.038
298.22	46.288	49.673	20.684	18.816	24.464	17.706
298.39	48.554	49.345	26.191	20.96	23.73	20.916
298.56	46.73	52.884	27.015	20.532	23.719	19.026
298.72	41.951	45.203	18.401	17.61	17.302	12.863
298.89	41.345	51.015	20.62	16.334	20.224	11.224
299.05	39.892	46.749	22.409	16.167	15.244	9.178
299.22	37.808	44.665	19.852	13.896	11.852	3.468
299.39	35.379	42.06	18.379	19.126	11.873	1.631
299.55	31.286	42.099	13.725	11.286	9.945	-3.275
299.72	35.164	43.428	13.197	16.142	11.395	0.802
299.89	36.881	44.925	16.683	12.441	10.089	1.529
300.05	36.737	40.385	17.232	12.836	4.572	0.396
300.22	40.155	46.353	16.616	13.122	9.32	1.946
300.39	41.052	47.866	16.404	15.085	12.184	6.646
300.55	47.156	52.035	19.441	12.738	12.628	8.771
300.72	47.874	51.655	15.578	18.171	14.786	11.578
300.89	48.323	50.301	15.07	13.554	16.741	8.4
301.05	48.795	50.202	14.653	19.136	19.971	9.378
301.22	51.751	53.025	12.784	16.718	20.388	8.443
301.38	49.054	50.372	9.592	17.856	17.504	5.46
301.55	51.565	52.532	5.257	14.685	14.971	2.938
301.72	53.058	54.157	5.817	16.542	15.311	1.113
301.88	55.665	55.226	8.654	10.083	12.127	-3.598
302.05	61.079	60.596	16.782	13.31	13.749	1.661
302.22	67.663	66.828	15.641	9.773	13.663	1.85
302.38	73.42	75.222	20.859	16.903	19.936	9.211
302.55	81.194	82.864	23.106	13.985	23.15	12.216
302.72	87.113	89.178	28.75	16.706	26.508	13.629
302.88	92.583	95.66	28.781	17.462	32.385	17.671
303.05	99.101	100.639	31.683	24.694	36.211	21.31
303.21	102.206	105.986	26.052	23.656	35.063	17.975
303.38	106.872	110.608	31.366	28.509	36.465	24.069
303.55	103.239	105.832	22.03	17.964	28.052	14.964
303.71	104.566	107.731	21.94	19.83	28.357	13.5
303.88	105.671	113.539	21.297	20.132	28.858	10.847
304.05	108.123	114.584	21.013	22.2	25.013	12.09
304.21	110.945	117.45	15.802	13.934	21.209	9.527
304.38	113.985	119.7	15.755	14.831	19.579	9.117
304.55	116.478	122.984	7.885	10.896	19.577	4.951
304.71	123.05	129.907	11.412	15.764	24.511	9.918
304.88	129.471	135.976	12.657	17.822	26.548	12.097
