Date,Ozono
20190715,282.78
20190716,276.4
20190717,271.0
20190718,278.64
20190719,277.91
20190720,285.09
20190721,264.0
20190722,289.1
20190723,276.1
20190724,282.91
20190725,284.03
20190726,285.68
20190727,278.64
20190728,270.21
20190729,270.68
20190730,278.17
20190731,281.9
20190801,278.16
20190802,282.34
20190803,275.3
20190804,269.7
20190805,282.33
20190806,277.19
20190807,275.3
20190808,277.79
20190809,273.37
20190810,279.14
20190811,282.32
20190812,275.3
20190813,273.26
20190814,279.49
20190815,277.02
20190816,277.9
20190817,278.61
20190818,278.02
20190819,275.3
20190820,270.74
20190821,278.34
20190822,271.35
20190823,274.03
20190824,255.64
20190825,272.0
20190826,275.19
20190827,277.03
20190828,275.3
20190829,267.68
20190830,277.07
20190831,272.94
20190901,274.55
20190902,276.29
20190903,268.72
20190904,263.52
20190905,261.33
20190906,268.03
20190907,262.21
20190908,263.52
20190909,260.57
20190910,268.7
20190911,272.97
20190912,274.82
20190913,263.52
20190914,260.51
20190915,260.35
20190916,267.31
20190917,264.02
20190918,258.67
20190919,261.98
20190920,263.52
20190921,255.17
20190922,259.7
20190923,253.04
20190924,259.87
20190925,253.66
20190926,265.97
20190927,264.46
20190928,260.19
20190929,263.52
20190930,254.31
20191001,264.15
20191002,260.56
20191003,266.89
20191004,263.78
20191005,258.76
20191006,256.41
20191007,258.51
20191008,264.86
20191009,252.37
20191010,256.41
20191011,256.69
20191012,257.07
20191013,261.72
20191014,256.19
20191015,256.41
20191016,249.81
20191017,262.3
20191018,250.96
20191019,253.2
20191020,252.35
20191021,250.71
20191022,256.41
20191023,255.88
20191024,263.47
20191025,259.38
20191026,250.73
20191027,249.46
20191028,251.88
20191029,256.41
20191030,248.29
20191031,256.41
20191101,246.77
20191102,255.72
20191103,253.03
20191104,251.78
20191105,244.23
20191106,247.96
20191107,242.38
20191108,247.2
20191109,239.44
20191110,239.04
20191111,242.38
20191112,229.3
20191113,229.69
20191114,242.38
20191115,232.03
20191116,242.38
20191117,238.3
20191118,248.62
20191119,246.08
20191120,238.88
20191121,241.23
20191122,243.7
20191123,242.38
20191124,245.25
20191125,245.56
20191126,242.27
20191127,243.38
20191128,236.0
20191129,232.73
20191130,242.38
20191201,241.2
20191202,246.49
20191203,244.92
20191204,241.0
20191205,246.85
20191206,246.0
20191207,241.98
20191208,249.11
20191209,246.49
20191210,241.87
20191211,246.49
20191212,241.96
20191213,251.41
20191214,251.71
20191215,254.29
20191216,246.49
20191217,244.41
20191218,246.49
20191219,247.44
20191220,234.09
20191221,240.95
20191222,246.69
20191223,247.68
20191224,253.64
20191225,246.49
20191226,245.8
20191227,246.49
20191228,255.02
20191229,241.0
20191230,253.48
20191231,253.25
20200101,250.98
20200102,252.08
20200103,250.98
20200104,237.96
20200105,243.8
20200106,254.01
20200107,259.29
20200108,257.8
20200109,253.08
20200110,250.98
20200111,250.56
20200112,250.98
20200113,244.54
20200114,247.5
20200115,244.53
20200116,247.58
20200117,250.98
20200118,253.75
20200119,250.98
20200120,255.16
20200121,257.4
20200122,264.06
20200123,253.15
20200124,261.87
20200125,245.32
20200126,250.98
20200127,249.51
20200128,250.98
20200129,251.16
20200130,245.04
20200131,246.7
20200201,247.71
20200202,256.5
20200203,250.08
20200204,256.5
20200205,248.47
20200206,251.39
20200207,254.21
20200208,269.76
20200209,265.23
20200210,265.07
20200211,256.5
20200212,258.62
20200213,256.5
20200214,253.67
20200215,257.78
20200216,251.97
20200217,259.39
20200218,256.5
20200219,260.68
20200220,256.5
20200221,253.6
20200222,256.9
20200223,258.91
20200224,256.5
20200225,256.5
20200226,247.4
20200227,256.5
20200228,262.64
20200229,256.5
20200301,261.96
20200302,263.16
20200303,262.03
20200304,262.14
20200305,262.97
20200306,261.56
20200307,262.97
20200308,259.21
20200309,260.43
20200310,261.91
20200311,253.93
20200312,262.97
20200313,260.07
20200314,262.97
20200315,257.45
20200316,262.97
20200317,263.1
20200318,263.02
20200319,259.18
20200320,259.91
20200321,262.97
20200322,269.31
20200323,262.97
20200324,263.58
20200325,266.44
20200326,264.89
20200327,262.3
20200328,264.5
20200329,275.99
20200330,262.97
20200331,272.34
20200401,275.47
20200402,270.26
20200403,272.4
20200404,263.7
20200405,265.76
